,x_pix,y_pix,amplitude,vlsr,sigma_v,labelsDBSCAN
0,116.0,71.0,4.9876819080416075,9.963935129531322,0.18924984620521804,-1
1,114.0,72.0,3.9021340633532926,9.914392893188541,0.1836158237225531,-1
2,113.0,73.0,4.487318217464193,9.867749924608828,0.19033223625755313,-1
3,114.0,73.0,4.413246534584194,9.898361085068625,0.1834634541817493,-1
4,115.0,73.0,4.447988537256245,9.931088366621449,0.17774457489438403,-1
5,113.0,74.0,4.573604064083253,9.858790401707076,0.18288641991098664,-1
6,114.0,74.0,4.4500413507513095,9.883336599210486,0.17830886574283059,-1
7,115.0,74.0,4.525222552236976,9.9082323043738,0.18461307696240922,-1
8,112.0,75.0,4.073378297101863,9.84188131148079,0.20298352837288552,-1
9,113.0,75.0,4.621077134099764,9.851299013642144,0.1873846014588377,-1
10,114.0,75.0,4.635456877417248,9.867715825661314,0.18782720173040618,-1
11,115.0,75.0,4.289650714463757,9.888057499611946,0.19090293260198865,-1
12,120.0,75.0,3.794831229923422,9.742469011499757,0.25904526619323387,-1
13,124.0,75.0,3.878593331191379,9.848298793711914,0.22479544029954598,-1
14,112.0,76.0,3.9915759130335,9.837184592616708,0.20918850465561067,-1
15,113.0,76.0,4.700550893325406,9.846219558204469,0.20057314191078313,-1
16,114.0,76.0,4.71224454481712,9.853618196774573,0.20433119427072854,-1
17,124.0,76.0,3.946695018239589,9.814633408591737,0.23918439820145562,-1
18,125.0,76.0,4.24789126504343,9.833066939137183,0.25103528794827845,-1
19,112.0,77.0,3.7686280040200297,9.83384000765115,0.2137358989520661,-1
20,113.0,77.0,4.748090817717925,9.84539778992471,0.21757283796447066,-1
21,124.0,77.0,3.8795268697833913,9.780865353863204,0.26045960700168097,-1
22,125.0,77.0,4.17257293409001,9.79935527721073,0.29107414118711555,-1
23,111.0,78.0,2.6373993301862892,9.787187559276825,0.22452685049478727,-1
24,112.0,78.0,3.7196676014741117,9.830617566737068,0.22889200236593954,-1
25,124.0,78.0,3.7312562851563396,9.753063391935036,0.30173275627392265,-1
26,125.0,78.0,3.9251050725276335,9.768725839129237,0.32879275892070053,-1
27,126.0,78.0,4.032712575920216,9.788756754779756,0.3283276253831643,-1
28,102.0,79.0,2.56449506320782,9.962428973208183,0.2316813439092655,-1
29,111.0,79.0,4.125206738950548,9.635885156562894,0.08761615719816562,2
30,120.0,79.0,4.3495958666662675,9.820298957029111,0.294150951964179,-1
31,124.0,79.0,3.6197229764073957,9.739804307925164,0.36381275702349475,-1
32,100.0,80.0,4.942018520303945,10.139852150864032,0.07911532999988279,-1
33,101.0,80.0,3.0557595170765617,10.031754661149469,0.18171946467613917,-1
34,102.0,80.0,3.1558802471027123,9.985973369294765,0.21332619717360324,-1
35,103.0,80.0,3.9256086941862307,9.984605734553039,0.226251809561662,-1
36,104.0,80.0,4.700794916047631,9.969270668039483,0.2329932113090474,-1
37,111.0,80.0,5.076078775092024,9.623034555163093,0.07745514523602803,2
38,112.0,80.0,2.8399855842917057,9.770235327429052,0.22535376103873697,-1
39,120.0,80.0,4.654406087087785,9.848247325907293,0.2925614508701532,-1
40,121.0,80.0,4.4056264900178554,9.818227345128726,0.3094491431692823,-1
41,124.0,80.0,3.761847414923374,9.745896867046339,0.41112383751613624,-1
